Data,Vendas_Previstas,Limite_Inferior,Limite_Superior
2026-01-01,3409.040798828281,3016.257237401266,3801.8243602552957
2026-02-01,3451.2103219627647,3055.351220080208,3847.0694238453216
2026-03-01,4054.0457745626154,3658.0034856701373,4450.088063455094
2026-04-01,3889.9171671851345,3493.8884438194486,4285.94589055082
2026-05-01,4717.48062047165,4321.449723720474,5113.511517222825
2026-06-01,4479.414219148202,4083.383625317336,4875.444812979069
2026-07-01,4535.6423696854345,4139.611732453446,4931.673006917423
2026-08-01,3687.1050893837173,3291.074457878858,4083.1357208885765
2026-09-01,3088.0123496416577,2691.981716817872,3484.0429824654434
2026-10-01,2930.5128889088733,2534.482255683963,3326.5435221337834
2026-11-01,3582.249016923583,3186.2183830853746,3978.2796507617913
2026-12-01,3298.41248658345,2902.3818520898258,3694.4431210770745
